date,leader,fish_of_day,coords_raw,UTM_zone,easting,northing,elevation,lat_dec_deg,long_dec_deg,detection,detection_specific,loc_main,loc_specific,loc_comments,radio_freq,radio_id,active,temp_C,signal_strength,gain,surface_temp_C,depth_m,habitat_desc,odfw_spawn_area,comments
7/19/2018,NH,6,,,,,,,,dead,dead,Williamson R,,downstream of lonesome duck office,250,4,N,,,,,,,,
8/16/2018,NH,11,,,,,,,,dead,dead,Williamson R,,lonesome duck,250,4,N,14.8,,,,,,,
4/14/2017,NH,6,,,,,,,,release,release,,,Shoalwater Bay,250,4.5,Y,,,,,,,,release site
5/29/2017,STATION,3,,,,,,,,trib,lower willy,Williamson R,Williamson Station,williamson station,250,4.5,Y,18.8,145,,,,,,"15 detections, temp ranged 18.0-18.8"
5/31/2017,Matt Wyatt,14,42 25.3836 N    121 57.0935 W::5/31/17 at 20:27:39 (UTC),10T,5.86E+05,4.70E+06,1269.4 M,42.423057 N,121.951560 W,lake,lake,UKL,,Eagle Ridge,250,4.5,Y,18.8,117,72,20.2,6.2,,,
5/31/2017,MW,14,,,,,,42.42324,-121.9519,lake,lake,UKL,Central: Eagle Ridge,eagle ridge,250,4.5,Y,18.8,117,72,20.2,6.2,shoreline w/ veg (trees),,temp varied from 18.8 to 21.2
6/2/2017,STATION,4,,,,,,,,trib,lower willy,Williamson R,Williamson Station,williamson station,250,4.5,Y,18,174,,,,,,"41 detections, temp ranged 16.4-18.8"
6/18/2017,USGS,,,,,,,,,trib,lower willy,Williamson R,,PIT Remote Weir Array06,250,4.5,,,,,,,,,
7/11/2017,NH,6,,,,,,,,trib,lower willy,Williamson R,Mainstem: below Sprague,lonesome duck grey house,250,4.5,Y,17.2,126,70,,,,,"usually inact, read inact on way in/out--new #4?"
7/25/2017,Nick Hahlbeck,18,,,,,,,,trib,lower willy,Williamson R,Mainstem: Below Sprague,Lonesome duck,250,4.5,Y,17.2,62,75,,,,,There is 2 tags present with this id on 250. One reads active while the other is inactive
8/31/2017,USGS,,,,,,,,,trib,lower willy,Williamson R,,PIT Remote Weir Array04,250,4.5,,,,,,,,,this is new #4
9/1/2017,STATION,9,,,,,,,,trib,lower willy,Williamson R,Williamson Station,williamson station,250,4.5,Y,16.4,243,,,,,,"28 detections, temp ranged 16.4-17.2"
9/3/2017,STATION,5,,,,,,,,trib,lower willy,Williamson R,Williamson Station,williamson station,250,4.5,Y,16.4,131,,,,,,"11 detections, temp ranged 15.6-16.4"
9/4/2017,STATION,7,,,,,,,,trib,lower willy,Williamson R,Williamson Station,williamson station,250,4.5,Y,17.2,208,,,,,,"44 detections, temp ranged 16.4-17.2"
9/5/2017,STATION,9,,,,,,,,trib,lower willy,Williamson R,Williamson Station,williamson station,250,4.5,Y,16.4,245,,,,,,"55 detections, temp ranged 16.4-17.2"
9/6/2017,STATION,9,,,,,,,,trib,lower willy,Williamson R,Williamson Station,williamson station,250,4.5,Y,17.2,209,,,,,,"108 detections, temp ranged 16.4-18.0"
9/6/2017,STATION,10,,,,,,,,trib,lower willy,Williamson R,Williamson Station,williamson station,250,4.5,Y,17.2,253,,,,,,"179 detections, temp ranged 15.6-21.2"
9/8/2017,STATION,11,,,,,,,,trib,lower willy,Williamson R,Williamson Station,williamson station,250,4.5,Y,15.6,196,,,,,,"17 detections, temp ranged 15.6-15.6"
9/9/2017,STATION,5,,,,,,,,trib,lower willy,Williamson R,Williamson Station,williamson station,250,4.5,Y,17.2,177,,,,,,"28 detections, temp ranged 17.2-17.2"
9/12/2017,STATION,5,,,,,,,,trib,lower willy,Williamson R,Williamson Station,williamson station,250,4.5,Y,16.4,254,,,,,,"45 detections, temp ranged 16.4-16.4"
10/16/2017,JA,28,,,,,,,,lake,lake,,,in flight upper eagle ridge,250,4.5,Y,,,,,,,,
2/8/2018,William Tinniswood,9,,,,,,,,lake,lake,UKL,Central: Shoalwater Bay,near eagle point,250,4.5,Y,,,,,,,,
5/29/2018,STATION,3,,,,,,,,trib,lower willy,Williamson R,Williamson Station,williamson station,250,4.5,Y,17.2,134,,,,,,"13 detections, temp ranged   17.2-18"
7/19/2018,NH,5,,,,,,,,trib,lower willy,Williamson R,,lonesome duck office,250,4.5,Y,15.6,,,,,,,inactive #4 also found today so this is new #4 for sure
8/21/2018,JO,5,,,,,,,,trib,lower willy,Williamson R,,between 1st no wake and mouth,250,4.5,Y,15.6,,,,,,,
8/30/2018,JO,17,,,,,,,,lake,lake,eagle Ridge point,,,250,4.5,Y,18,,,,,,,
9/4/2018,CD,18,,,,,,,,lake,lake,eagle ridge,mile south of point,,250,4.5,Y,,,,,,,,
9/17/2018,WT,8,,,,,,42.41725,-121.9473,lake,lake,,,eagle ridge across from middle of bare island,250,4.5,Y,15.6,,,16,,,,onshore-log hole
10/18/2018,CD,19,,,,,,,,lake,lake,UKL,,between eagle ridge and bare island,250,4.5,Y,,,,,,,,
5/3/2016,999,5,,,,,,,,release,release,Upper Klamath Lake,,Upper Klamath Lake Shoalwater Boat Ramp,250,5,,,,,,,,,Release site
6/1/2016,999,5,,,,,,,,trib,lower willy,Williamson River,,Williamson River Williamson River RM  6,250,5,Y,16.4,,,17.1,,,,just below USGS weir site
6/29/2016,999,3,42 31.5105 N    121 54.4184 W::6/29/16 at 19:12:21 (UTC),10T,5.90E+05,4.71E+06,1262.9 M,,,trib,lower willy,Williamson River,,Williamson River Near pit tag array,250,5,Y,18.8,255,,18.6,1.9,Pool,,Moved to 6m hole
7/6/2016,999,1,42 31.0039 N    121 54.9927 W::7/6/16 at 17:45:46 (UTC),10T,5.89E+05,4.71E+06,1260.1 M,,,trib,lower willy,Williamson River,,Williamson River Midchannel lower williamson by private docks,250,5,Y,16.4,255,,16.71,2.4,Open Water Clear,,pH 8.67 DO 8.47
7/7/2016,999,3,42 31.0070 N    121 55.0053 W::7/7/16 at 17:20:51 (UTC),10T,5.89E+05,4.71E+06,1260.9 M,,,trib,lower willy,Williamson River,,Williamson River Docks above bridge,250,5,Y,16.4,240,,,3.1,Open Water Clear,,
7/12/2016,999,5,42 30.9480 N    121 54.8445 W::7/12/16 at 18:22:32 (UTC),10T,5.89E+05,4.71E+06,1255.8 M,,,trib,lower willy,Williamson River,,Williamson River Rivers dr,250,5,Y,17.2,107,,,,,,Possible error? Where are the 5s?
7/18/2016,999,15,42 30.9606 N    121 54.9741 W::7/18/16 at 23:47:35 (UTC),10T,5.89E+05,4.71E+06,1277.0 M,,,trib,lower willy,Williamson River,,Williamson River Williamson river bridge Modoc Point Bridge,250,5,Y,18,255,,18.6,3,Open Water Clear,,
7/25/2016,999,2,42 31.0189 N    121 54.9704 W::7/25/16 at 17:49:22 (UTC),10T,5.89E+05,4.71E+06,1197.9 M,,,trib,lower willy,Williamson River,,Williamson River Begining of private docks,250,5,Y,17.2,255,,17.5,3.1,Open Water Clear,,
7/25/2016,999,4,42 31.0436 N    121 55.0015 W::7/25/16 at 18:28:41 (UTC),10T,5.89E+59,4.71E+06,1260.0 M,,,trib,lower willy,Williamson River,,Williamson River Private docks,250,5,Y,17.2,255,,17.7,2.9,,,
8/2/2016,999,2,42 31.0174 N    121 54.9992 W::8/2/16 at 17:39:12 (UTC),10T,5.89E+05,4.71E+06,1253.6 M,,,trib,lower willy,Williamson River,,Williamson River Personal dock right above Modoc Point bridge,250,5,Y,16.4,255,,16.6,2.9,Open Water Clear,,
8/3/2016,999,13,42 30.8885 N    121 55.0442 W::8/3/16 at 21:34:36 (UTC),10T,5.89E+05,4.71E+06,1249.3 M,,,trib,lower willy,Williamson River,,Williamson River Williamson river bridge Modoc Point Bridge,250,5,Y,14.8,66,,,,Open Water Clear,,
8/8/2016,999,10,,,,,,42.5187781,-121.9160211,trib,lower willy,,,in flight williamson near rivers dr,250,5,,14.8,48,,,,,,
8/10/2016,999,10,42 31.0193 N    121 54.9958 W::8/10/16 at 22:24:23 (UTC),10T,5.89E+05,4.71E+06,1268.2 M,,,trib,lower willy,Williamson River,,Williamson River Private docks by private boat ramp above wr bridge,250,5,Y,15.6,255,,16.8,2.6,Open Water Clear,,
8/15/2016,999,12,42 34.2444 N    121 52.7254 W::8/15/16 at 17:39:55 (UTC),10T,5.92E+05,4.71E+06,---.-,,,trib,lower willy,Williamson River,,Williamson River Chiloquin boat ramp,250,5,Y,3.6,154,,12,,Riffle,,
8/18/2016,999,4,42 30.9956 N    121 54.9866 W::8/18/16 at 17:50:58 (UTC),10,5.89E+05,4.71E+06,1270.0 M,,,trib,lower willy,Williamson River,,"Williamson River House with dont tread on me flag, blue roof on west shore",250,5,Y,16.4,255,,16.9,2.7,Shoreline other,,
8/23/2016,999,3,42 30.9985 N    121 54.9990 W::8/23/16 at 17:20:21 (UTC),10,5.89E+05,4.71E+06,1258.3 M,,,trib,lower willy,Williamson River,,Williamson River Dock of white house with green trim on east bank,250,5,Y,14.8,255,,14.6,2.5,Shoreline other,,
8/29/2016,999,2,,,,,,,,trib,lower willy,Williamson River,,Williamson River Under private dock w/ ladder and deck,250,5,Y,15.6,255,,15.1,1.4,Open Water Clear,,
9/7/2016,999,10,,,,,,,,trib,lower willy,Williamson River,,Williamson River Modoc point bridge,250,5,Y,12.4,,,,,,,
9/12/2016,999,1,42 30.8840 N    121 55.0583 W::9/12/16 at 19:26:27 (UTC),10T,5.89E+05,4.71E+06,1552.6 M,,,trib,lower willy,Williamson River,,Williamson River Modoc pt bridge,250,5,Y,14,60,,,,Shoreline other,,Temp reads between 11.6-14.0
9/14/2016,999,16,42 31.0070 N    121 55.0134 W::9/14/16 at 22:46:53 (UTC),10T,5.89E+05,4.71E+06,1261.1 M,,,trib,lower willy,Williamson River,,Williamson River Above modoc point,250,5,Y,12.4,,,12.4,1.7,Glide,,
9/21/2016,999,11,,,,,,,,trib,lower willy,Williamson River,,Williamson River Modoc point,250,5,Y,12.4,,,,,,,
10/24/2016,USGS,,,,,,,,,junk,junk,Wood R,,PIT Remote Upper Wood River Array02,250,5,,,,,,,,,likely wrong pit id; conflicts with radio data
10/24/2016,USGS,,,,,,,,,junk,junk,Wood R,,PIT Remote Upper Wood River Array01,250,5,,,,,,,,,likely wrong pit id; conflicts with radio data
10/25/2016,USGS,,,,,,,,,junk,junk,Wood R,,PIT Remote Upper Wood River Array01,250,5,,,,,,,,,likely wrong pit id; conflicts with radio data
10/26/2016,USGS,,,,,,,,,junk,junk,Wood R,,PIT Remote Upper Wood River Array02,250,5,,,,,,,,,likely wrong pit id; conflicts with radio data
10/26/2016,USGS,,,,,,,,,junk,junk,Wood R,,PIT Remote Upper Wood River Array01,250,5,,,,,,,,,likely wrong pit id; conflicts with radio data
10/28/2016,999,1,,,,,,,,trib,lower willy,Williamson River,,Williamson River Off williamson river mouth,250,5,Y,8.4,,,,,,,
11/1/2016,STATION,1,,,,,,,,trib,lower willy,Williamson R,Williamson Station,williamson station,250,5,Y,7.6,219,,,,,,"data from a file labeled as mobile, but timestamp shows 403 detections in middle of night so probably left at williamson overnight. temp ranged 6.8-11.6"
11/9/2016,999,12,42 26.5954 N    121 52.7370 W::11/9/16 at 21:29:28 (UTC),10T,5.92E+05,4.70E+06,1263.7 M,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake Modoc point,250,5,Y,9.2,,,9.6,1.8,,,
11/15/2016,999,2,,,,,,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake Near algae plant and modoc point,250,5,Y,10,31,,,,,,
11/21/2016,999,7,42 22.5603 N    121 48.9716 W::11/21/16 at 23:45:36 (UTC),10T,5.97E+05,4.69E+06,1259.6 M,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake South of hagelstein,250,5,Y,7.6,90,,,,,,
11/30/2016,999,11,42 23.0376 N    121 48.7892 W::12/1/16 at 00:46:25 (UTC),10T,5.98E+05,4.69E+06,1285.4 M,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake Barkley springs channel west side 97,250,5,Y,4.4,,,,,,,
12/2/2016,MW,5,,,,,,42.4066614,-121.9437331,lake,lake,,,in flight eagle ridge,250,5,,,169,,,,,,"questionable, only 1 detection"
12/7/2016,999,1,,,,,,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake Near barkley and sucker springs,250,5,Y,3.6,,,,,,,Might be spawning near sucker springs
12/8/2016,999,1,42 23.1528 N    121 48.8897 W::12/8/16 at 22:24:13 (UTC),10T,5.98E+59,4.69E+06,1266.5 M,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake At haglestein,250,5,Y,1.2,171,,4.5,,,,
12/11/2016,999,9,,,,,,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake Outlet of barkley springs,250,5,Y,2.8,,,,,,,
12/21/2016,999,1,,,,,,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake Near barclay springs. Appears to be in channel,250,5,Y,3.6,,,,,,,
12/23/2016,999,9,42 23.1544 N    121 48.9225 W::12/23/16 at 23:52:25 (UTC),10T,5.98E+05,4.69E+06,1289.2 M,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake In lake at mouth of barkly springs,250,5,Y,4.4,215,,,,,,
12/29/2016,999,1,,,,,,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake Near barkley springs,250,5,Y,3.6,,,,,,Barkley Springs (UKL),
12/30/2016,999,1,,,,,,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake South of barkley springs.,250,5,Y,3.6,,,,,,,
1/6/2017,999,1,,,,,,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake At barkley springs channel outlet. Need to remove beaver dam,250,5,Y,4.4,,,,,,,
1/12/2017,999,4,,,,,,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake Near barkley springs,250,5,Y,2.8,,,,,,,Removed beaver dam ar railroad
1/19/2017,999,1,42 23.1633 N    121 48.8614 W::1/19/17 at 17:07:04 (UTC),10T,5.98E+05,4.69E+06,1272.4 M,,,trib,east side spring,Upper Klamath Lake,,Upper Klamath Lake Has moved above beaver dam and into channel west of highway.,250,5,Y,3.6,181,,,,,Barkley Springs (UKL),
1/19/2017,999,15,,,,,,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake Near algoma pond.,250,5,Y,3.2,,,,,,,Moved down from barkley springs
1/20/2017,999,1,,,,,,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake Closer to barkley springs,250,5,Y,3.6,,,,,,,Moved north
1/24/2017,999,1,42 22.8966 N    121 48.8127 W::1/24/17 at 18:20:20 (UTC),10T,5.98E+05,4.69E+06,1264.5 M,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake,250,5,Y,2,83,,,,,,
1/27/2017,999,1,,,,,,,,trib,east side spring,Upper Klamath Lake,,Upper Klamath Lake Very close to barkley springs,250,5,Y,2,,,,,,,
1/30/2017,999,10,42 22.7489 N    121 48.8933 W::1/30/17 at 22:26:08 (UTC),10T,5.98E+05,4.69E+06,1269.3 M,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake,250,5,Y,2,109,,,,,Barkley Springs (UKL),
2/2/2017,999,1,42 23.1630 N    121 48.8616 W::2/2/17 at 18:03:03 (UTC),10T,5.98E+05,4.69E+06,1274.1 M,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake Haglestien out in lake,250,5,Y,2,123,,,,,,
2/8/2017,999,1,42 22.8854 N    121 48.7694 W::2/8/17 at 16:49:34 (UTC),10T,5.98E+05,4.69E+06,1262.9 M,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake South of Haglstien 1/4 mile out in lake,250,5,Y,2,123,,,,,,
2/13/2017,999,7,42 22.1459 N    121 49.1448 W::2/13/17 at 23:50:15 (UTC),10T,5.97E+05,4.69E+06,1259.9 M,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake In lake south of haglestien,250,5,Y,5.2,170,,,,,,
2/21/2017,999,7,42 26.7696 N    121 52.1692 W::2/21/17 at 22:51:41 (UTC),10T,5.93E+05,4.70E+06,1277.2 M,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake Off modoc point rd and highway 97,250,5,Y,1.2,82,,,,,,
2/22/2017,999,1,42 24.2911 N    121 49.7026 W::2/22/17 at 19:11:50 (UTC),10T,5.96E+05,4.70E+06,1270.0 M,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake 1 mile north of haglestien,250,5,Y,2.4,121,,,,,,
2/23/2017,999,2,42 23.1094 N    121 48.8434 W::2/23/17 at 17:20:36 (UTC),10T,5.98E+05,4.69E+06,1268.8 M,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake In lake at haglestien,250,5,Y,2,173,,,,,,
2/28/2017,999,1,,,,,,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake Near hagelstein park,250,5,Y,3.6,,,,,,,
3/8/2017,999,2,42 22.8743 N    121 48.8302 W::3/8/17 at 17:23:33 (UTC),10T,5.98E+05,4.69E+06,1259.4 M,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake 200m south of haglestien in lake,250,5,Y,2.8,97,,,,,,
3/9/2017,999,1,,,,,,,,trib,east side spring,Upper Klamath Lake,,Upper Klamath Lake Hagelstein Park outlet of Barkley Springs,250,5,Y,5.4,,,,,,,"caught by angler, photo, bait fishing with minnows, released, looks prespawn, scale loss, female, ovipositer out"
3/13/2017,999,2,42 22.5541 N    121 48.9739 W::3/13/17 at 15:54:49 (UTC),10T,5.97E+05,4.69E+06,1261.4 M,,,trib,east side spring,Upper Klamath Lake,,Upper Klamath Lake In lake near haglestien,250,5,Y,6,113,,,,,,
3/15/2017,999,1,42 22.7530 N    121 48.8763 W::3/15/17 at 16:16:41 (UTC),10T,5.98E+05,4.69E+06,1269.3 M,,,trib,east side spring,Upper Klamath Lake,,Upper Klamath Lake South of haglestien,250,5,Y,8.4,163,,,,,,
3/16/2017,999,1,42 23.1599 N    121 48.8706 W::3/16/17 at 16:27:20 (UTC),10T,5.98E+05,4.69E+06,1277.7 M,,,trib,east side spring,Upper Klamath Lake,,Upper Klamath Lake At outlet of hagelstein,250,5,Y,8.4,143,,,,,,
3/22/2017,999,1,42 22.8445 N    121 48.8378 W::3/22/17 at 16:16:27 (UTC),10T,5.98E+05,4.69E+06,1277.8 M,,,trib,east side spring,Upper Klamath Lake,,Upper Klamath Lake South of haglestien,250,5,Y,8.4,173,,,,,,
3/22/2017,999,2,,,,,,,,trib,east side spring,Upper Klamath Lake,,Upper Klamath Lake Near hagelstein park barkley springs,250,5,Y,8.4,,,,,,,
3/23/2017,999,1,,,,,,,,trib,east side spring,Upper Klamath Lake,,Upper Klamath Lake Hagelstein park,250,5,Y,8.4,,,,,,,
3/28/2017,999,7,42 21.2067 N    121 53.5484 W::3/28/17 at 18:39:14 (UTC),10T,5.91E+05,4.69E+06,1266.6 M,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake Off eagle ridge across from haglestien,250,5,Y,8.4,224,,,,,,
4/6/2017,999,5,,,,,,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake Below hagelstein,250,5,Y,9.2,,,,,,,
4/10/2017,999,1,42 23.0586 N    121 48.8042 W::4/10/17 at 18:15:20 (UTC),10T,5.98E+05,4.69E+06,1269.7 M,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake In lake near haglestien,250,5,Y,7.6,72,,,,,,
4/18/2017,999,2,,,,,,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake North of hagelstein,250,5,Y,9.2,,,,,,,Moved near sucker springs
4/19/2017,NH,2,,,,,,42.38583,-121.928,lake,lake,,,in flight,250,5,,,,,,,,,
4/26/2017,STATION,1,,,,,,,,trib,lower willy,Williamson R,Williamson Station,williamson station,250,5,Y,9.2,255,,,,,,"271 detections, temp ranged 8.4-10.8"
5/28/2017,STATION,6,,,,,,,,trib,lower willy,Williamson R,Williamson Station,williamson station,250,5,Y,18.8,192,,,,,,"54 detections, temp ranged 17.2-19.6"
5/31/2017,Matt Wyatt,29,42 30.4905 N    121 55.3506 W::5/31/17 at 23:30:23 (UTC),10T,5.89E+05,4.71E+06,1261.6 M,42.508175 N,121.922510 W,trib,lower willy,Williamson R,,Begining no wake,250,5,Y,16.4,111,72,17.4,2.4,,,
5/31/2017,MW,29,,,,,,42.5084,-121.92557,trib,lower willy,Williamson R,Mainstem: below Sprague,near 2nd no wake buoy on williamson,250,5,Y,16.4,111,72,17.4,2.2,shoreline w/ veg (trees and reeds),,
5/31/2017,William Tinniswood,12,42 30.3569 N    121 55.5126 W::5/31/17 at 19:36:27 (UTC),10T,5.88E+05,4.71E+06,1276.5 M,42.505948 N,121.925210 W,trib,lower willy,Williamson R,,Above tnc ramp near first no wake buoy,250,5,Y,17.3,141,80,,,,,
6/5/2017,Matt Wyatt,3,42 30.5045 N    121 55.4954 W::6/5/17 at 17:27:32 (UTC),10T,5.88E+05,4.71E+06,1265.5 M,42.508408 N,121.924923 W,trib,lower willy,Williamson R,,Upstream of tnc boat ramp,250,5,Y,16.4,81,75,,,,,
6/20/2017,Matt Wyatt,13,42 30.3340 N    121 55.5289 W::6/20/17 at 23:23:05 (UTC),10T,5.88E+05,4.71E+06,1267.4 M,42.505567 N,121.925482 W,trib,lower willy,Williamson R,,Tnc rd,250,5,Y,20.5,70,74,,,,,
6/22/2017,Nick Hahlbeck,1,42 29.9257 N    121 55.6059 W::6/22/17 at 19:45:28 (UTC),10T,5.88E+05,4.71E+06,1216.4 M,42.498762 N,121.926765 W,trib,lower willy,Williamson R,Mainstem: Below Sprague,Tnc above launch,250,5,Y,19.6,144,67,19.7,5.6,Shoreline w/ veg,,
7/10/2017,Jordan Ortega,13,42 30.9803 N    121 54.9889 W::7/10/17 at 22:51:09 (UTC),10T,5.89E+05,4.71E+06,1261.1 M,42.516338 N,121.916482 W,trib,lower willy,Williamson R,,3rd dock on right upstream of modoc pt bridge,250,5,Y,18.8,255,47,20.2,2.8,,,
7/11/2017,NH,1,,,,,,,,trib,lower willy,Williamson R,Mainstem: below Sprague,modoc pt bridge,250,5,Y,18,100,70,,,,,
7/14/2017,William Tinniswood,6,,,,,,,,trib,lower willy,Williamson R,Mainstem: Below Sprague,Above modoc point bridge,250,5,Y,18.8,,,,,,,
7/24/2017,Jordan Ortega,4,,,,,,,,trib,lower willy,Williamson R,Mainstem: Below Sprague,1st house above modoc pt bridge,250,5,Y,18,99,70,19.6,2.7,Opem water clear,,
7/25/2017,Nick Hahlbeck,22,,,,,,,,trib,lower willy,Williamson R,,River dr rd,250,5,Y,18.8,67,70,,,,,
8/2/2017,William Tinniswood,1,,,,,,,,trib,lower willy,Williamson R,Mainstem: Below Sprague,Modoc point bridge,250,5,Y,18.8,48,,,,,,
8/9/2017,William Tinniswood,1,,,,,,,,trib,lower willy,Williamson R,Mainstem: Below Sprague,Above modoc point,250,5,Y,15.6,199,,,,,,
9/11/2017,Jordan Ortega,8,,,,,,42.5147,-121.9174,trib,lower willy,Williamson R,Mainstem: Below Sprague,,250,5,Y,15.6,53,79,,,,,
9/13/2017,William Tinniswood,27,,,,,,,,trib,lower willy,Williamson R,Mainstem: Below Sprague,Above modoc point rd,250,5,Y,14.8,,,14.6,2.6,,,
10/16/2017,JA,30,,,,,,,,trib,lower willy,,,in flight lower williamson,250,5,,,,,,,,,
10/23/2017,William Tinniswood,3,,,,,,,,trib,lower willy,Williamson R,Mainstem: Below Sprague,Modoc Point Bridge just above,250,5,Y,9.2,,,,,,,
11/1/2017,William Tinniswood,3,,,,,,,,trib,lower willy,Williamson R,Mainstem: Below Sprague,Modoc Point Bridge,250,5,Y,,,,,,,,
11/8/2017,STATION,1,,,,,,,,trib,lower willy,Williamson R,Williamson Station,williamson station,250,5,Y,4.4,253,,,,,,"175 detections, temp ranged   4.4-8.4"
11/8/2017,STATION,2,,,,,,,,trib,lower willy,Williamson R,Williamson Station,williamson station,250,5,Y,5.2,235,,,,,,"215 detections, temp ranged   4.4-7.6"
11/9/2017,STATION,1,,,,,,,,trib,lower willy,Williamson R,Williamson Station,williamson station,250,5,Y,6,255,,,,,,"2230 detections, temp ranged   5.2-9.2"
11/10/2017,STATION,1,,,,,,,,trib,lower willy,Williamson R,Williamson Station,williamson station,250,5,Y,6,255,,,,,,"10821 detections, temp ranged    2-11.6"
11/28/2017,William Tinniswood,4,,,,,,,,trib,lower willy,Williamson R,,Modoc Point Bridge,250,5,Y,,,,,,,,
11/29/2017,William Tinniswood,4,,,,,,,,trib,lower willy,Williamson R,Other,modoc point bridge,250,5,,,,,,,,,
3/7/2018,William Tinniswood,13,,,,,,,,trib,lower willy,Williamson R,Mainstem: Below Sprague,odfw boat ramp,250,5,,,,,,,,,
4/10/2018,STATION,1,,,,,,,,trib,lower willy,Williamson R,Williamson Station,williamson station,250,5,Y,10.8,255,,,,,,"2065 detections, temp ranged    2.8-14"
4/12/2018,STATION,1,,,,,,,,trib,lower willy,Williamson R,Williamson Station,williamson station,250,5,Y,7.6,230,,,,,,"88 detections, temp ranged   7.6-9.2"
4/13/2018,STATION,1,,,,,,,,trib,lower willy,Williamson R,Williamson Station,williamson station,250,5,Y,7.6,218,,,,,,"20 detections, temp ranged   6.8-8.4"
4/30/2018,William Tinniswood,6,,,,,,,,lake,lake,UKL,Central: Eagle Ridge,mid eagle ridge,250,5,y,14,,,,,,,from airplane
5/1/2018,STATION,1,,,,,,,,junk,junk,Wood R,Wood Station,wood station,250,5,,3.6,96,,,,,,"17 detections, temp ranged   2.8-3.6. Likely bogus data; receiver picked up several dead tags from williamson and sprague this day"
5/17/2018,STATION,1,,,,,,,,trib,lower willy,Williamson R,Williamson Station,williamson station,250,5,Y,16.4,231,,,,,,"139 detections, temp ranged 15.6-21.2"
6/25/2018,WT,,,,,,,,,trib,lower willy,Williamson R,,Modoc Pint Bridge,250,5,Y,18.8,,,,,,,
6/28/2018,WT,,,,,,,,,trib,lower willy,Williamson R,,above Modoc Point bridge,250,5,,,,,,,,,
7/6/2018,WT,,,,,,,,,trib,lower willy,Williamson R,,just above modoc point road,250,5,,16.4,,,,,,,
7/24/2018,NH,1,,,,,,,,trib,lower willy,Williamson R,,kleo's,250,5,Y,18,150,74,,,,,
8/16/2018,NH,1,,,,,,,,dead,dead,Williamson R,,above modoc pt bridge rivers dr,250,5,N,28.4,,,,,,,
8/20/2018,NH,1,,,,,,,,dead,dead,Williamson R,,rivers dr,250,5,N,,,,,,,,recovered from carcass on dock by Ellis Wilson 32550 Rivers Dr. carcass mostly eaten with head detached; saw hawk on dock before leaving for a week so likely died 7-10 days prior to call
5/4/2016,999,1,,,,,,,,release,release,Upper Klamath Lake,,Upper Klamath Lake Shoalwater Boat ramp,250,6,,,,,,,,,Release site
5/22/2016,999,2,,,,,,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake Eagle Ridge near shoreline northwest of 7,250,6,,14.8,,,14.8,,,,
5/31/2016,999,3,,,,,,,,lake,lake,Upper Klamath Lake,,Upper Klamath Lake Eagle Ridge 0.5 miles south of Bare Island,250,6,,17.2,,,21.4,,,,
6/5/2016,USGS,,,,,,,,,trib,lower willy,Williamson R,,PIT Remote Weir Array05,250,6,,,,,,,,,
6/6/2016,999,1,,,,,,,,trib,lower willy,Williamson River,,Williamson River Williamson River USGS PIT tag array,250,6,,,,,,,,,
6/6/2016,USGS,,,,,,,,,trib,lower willy,Williamson R,,PIT Remote Weir Array01,250,6,,,,,,,,,
6/6/2016,USGS,,,,,,,,,trib,lower willy,Williamson R,,PIT Remote Weir Array02,250,6,,,,,,,,,
6/6/2016,USGS,,,,,,,,,trib,lower willy,Williamson R,,PIT Remote Weir Array06,250,6,,,,,,,,,
6/6/2016,USGS,,,,,,,,,trib,lower willy,Williamson R,,PIT Remote Weir Array05,250,6,,,,,,,,,
